"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"19740","08","08001","0078.01","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",3732,0.001 
"19740","08","08001","0078.02","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",3758,0.001 
"19740","08","08001","0079.00","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",5555,0.002 
"19740","08","08001","0080.00","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",5742,0.002 
"19740","08","08001","0081.00","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",384,0 
"19740","08","08001","0081.00","80011","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",193,0 
"19740","08","08001","0081.00","80045","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",277,0 
"19740","08","08001","0082.00","80010","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",429,0 
"19740","08","08001","0082.00","80011","U","23527","00810","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest)","Denver--Aurora, CO Urbanized Area",5055,0.002 
"19740","08","08001","0083.08","80011","U","23527","00809","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central)","Denver--Aurora, CO Urbanized Area",5557,0.002 
"19740","08","08001","0083.09","80011","U","23527","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)","Denver--Aurora, CO Urbanized Area",3254,0.001 
"19740","08","08001","0083.53","80011","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",5,0 
"19740","08","08001","0083.53","80011","U","23527","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)","Denver--Aurora, CO Urbanized Area",4252,0.002 
"19740","08","08001","0083.53","80019","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",53,0 
"19740","08","08001","0083.53","80019","U","23527","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Aurora, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)","Denver--Aurora, CO Urbanized Area",1637,0.001 
"19740","08","08001","0083.53","80137","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Watkins, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",97,0 
"19740","08","08001","0084.01","80102","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Bennett, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",2874,0.001 
"19740","08","08001","0084.01","80137","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Watkins, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",344,0 
"19740","08","08001","0084.01","80603","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",364,0 
"19740","08","08001","0084.01","80642","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Hudson, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",357,0 
"19740","08","08001","0084.01","80643","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Keenesburg, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",376,0 
"19740","08","08001","0084.02","80102","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Bennett, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",485,0 
"19740","08","08001","0084.02","80103","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Byers, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",475,0 
"19740","08","08001","0084.02","80105","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Deer Trail, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",35,0 
"19740","08","08001","0084.02","80136","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Strasburg, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",3274,0.001 
"19740","08","08001","0084.02","80654","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Wiggins, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",30,0 
"19740","08","08001","0084.02","80701","R"," ","00824","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Fort Morgan, CO","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast)"," ",53,0 
"19740","08","08001","0085.05","80233","U","23527","00805","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities","Denver--Aurora, CO Urbanized Area",6655,0.003 
"19740","08","08001","0085.06","80233","U","23527","00805","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities","Denver--Aurora, CO Urbanized Area",5383,0.002 
"19740","08","08001","0085.07","80233","U","23527","00805","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities","Denver--Aurora, CO Urbanized Area",6099,0.002 
"19740","08","08001","0085.08","80233","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",5342,0.002 
"19740","08","08001","0085.23","80022","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",463,0 
"19740","08","08001","0085.23","80601","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",723,0 
"19740","08","08001","0085.23","80601","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",2505,0.001 
"19740","08","08001","0085.23","80603","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",2510,0.001 
"19740","08","08001","0085.23","80603","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",719,0 
"19740","08","08001","0085.23","80640","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",118,0 
"19740","08","08001","0085.23","80640","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",2,0 
"19740","08","08001","0085.23","80642","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Hudson, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",546,0 
"19740","08","08001","0085.24","80241","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Thornton, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",6042,0.002 
"19740","08","08001","0085.24","80602","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Thornton, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",1772,0.001 
"19740","08","08001","0085.26","80023","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Broomfield, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",13,0 
"19740","08","08001","0085.26","80241","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Thornton, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",6333,0.002 
"19740","08","08001","0085.26","80602","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Thornton, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",396,0 
"19740","08","08001","0085.29","80233","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",1281,0.001 
"19740","08","08001","0085.29","80241","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Thornton, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",6165,0.002 
"19740","08","08001","0085.33","80233","U","23527","00805","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities","Denver--Aurora, CO Urbanized Area",7650,0.003 
"19740","08","08001","0085.34","80233","U","23527","00806","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Northglenn, CO","Adams County (West Central)--Thornton & Federal Heights Cities","Denver--Aurora, CO Urbanized Area",4283,0.002 
"19740","08","08001","0085.35","80601","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Brighton, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",30,0 
"19740","08","08001","0085.35","80640","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",3268,0.001 
"19740","08","08001","0085.36","80022","R"," ","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities"," ",660,0 
"19740","08","08001","0085.36","80022","U","23527","00807","99999","CO","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","99999","Commerce City, CO","Adams County (West Central)--Commerce City & Brighton Cities","Denver--Aurora, CO Urbanized Area",586,0 
