"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"33100","12","12011","0101.02","33064","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Pompano Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",1023,0 
"33100","12","12011","0101.02","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",2206,0 
"33100","12","12011","0101.03","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",3491,0.001 
"33100","12","12011","0101.04","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",2263,0 
"33100","12","12011","0102.00","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",6063,0.001 
"33100","12","12011","0103.04","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",3321,0.001 
"33100","12","12011","0103.05","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",4607,0.001 
"33100","12","12011","0103.05","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",19,0 
"33100","12","12011","0103.06","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",2365,0 
"33100","12","12011","0103.07","33441","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",2372,0 
"33100","12","12011","0103.07","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",2091,0 
"33100","12","12011","0103.08","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",4412,0.001 
"33100","12","12011","0104.01","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",4724,0.001 
"33100","12","12011","0104.02","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",3551,0.001 
"33100","12","12011","0104.03","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",4712,0.001 
"33100","12","12011","0104.05","33064","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Pompano Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",6577,0.001 
"33100","12","12011","0104.06","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",3824,0.001 
"33100","12","12011","0104.07","33064","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Pompano Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",515,0 
"33100","12","12011","0104.07","33442","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Deerfield Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",4742,0.001 
"33100","12","12011","0105.02","33073","U","56602","01102","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coconut Creek, FL","Broward County (North Central)--Margate & Coconut Creek Cities","Miami, FL Urbanized Area",2986,0.001 
"33100","12","12011","0105.03","33067","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",2097,0 
"33100","12","12011","0105.03","33076","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",9140,0.002 
"33100","12","12011","0105.04","33067","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",5659,0.001 
"33100","12","12011","0106.01","33067","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",3271,0.001 
"33100","12","12011","0106.01","33076","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",4965,0.001 
"33100","12","12011","0106.03","33076","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",5213,0.001 
"33100","12","12011","0106.04","33067","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",4070,0.001 
"33100","12","12011","0106.05","33067","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",6515,0.001 
"33100","12","12011","0106.06","33073","U","56602","01102","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coconut Creek, FL","Broward County (North Central)--Margate & Coconut Creek Cities","Miami, FL Urbanized Area",5670,0.001 
"33100","12","12011","0106.07","33073","U","56602","01102","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coconut Creek, FL","Broward County (North Central)--Margate & Coconut Creek Cities","Miami, FL Urbanized Area",9802,0.002 
"33100","12","12011","0106.09","33073","U","56602","01102","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coconut Creek, FL","Broward County (North Central)--Margate & Coconut Creek Cities","Miami, FL Urbanized Area",3742,0.001 
"33100","12","12011","0106.10","33073","U","56602","01102","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coconut Creek, FL","Broward County (North Central)--Margate & Coconut Creek Cities","Miami, FL Urbanized Area",6968,0.001 
"33100","12","12011","0106.11","33076","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",4241,0.001 
"33100","12","12011","0106.12","33076","U","56602","01101","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Coral Springs, FL","Broward County (West)--Coral Springs & Parkland Cities","Miami, FL Urbanized Area",6192,0.001 
"33100","12","12011","0107.01","33064","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Pompano Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",5219,0.001 
"33100","12","12011","0107.02","33064","U","56602","01103","22744","FL","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Pompano Beach, FL","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities","Miami, FL Urbanized Area",7794,0.001 
