"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"12580","24","24003","7011.01","21035","U","04843","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Davidsonville, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater","Baltimore, MD Urbanized Area",436,0 
"12580","24","24003","7011.01","21037","U","04843","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Edgewater, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater","Baltimore, MD Urbanized Area",1670,0.001 
"12580","24","24003","7011.01","21140","U","04843","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Riva, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater","Baltimore, MD Urbanized Area",2045,0.001 
"12580","24","24003","7011.02","21037","U","04843","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Edgewater, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater","Baltimore, MD Urbanized Area",7508,0.003 
"12580","24","24003","7012.00","21037","R"," ","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Edgewater, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater"," ",127,0 
"12580","24","24003","7012.00","21037","U","04843","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Edgewater, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater","Baltimore, MD Urbanized Area",8171,0.003 
"12580","24","24003","7013.00","20711","R"," ","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Lothian, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater"," ",1078,0 
"12580","24","24003","7013.00","20776","R"," ","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Harwood, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater"," ",2085,0.001 
"12580","24","24003","7013.00","21035","R"," ","01204","99999","MD","Anne Arundel MD","Baltimore-Towson, MD Metropolitan Statistical Area","99999","Davidsonville, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater"," ",4007,0.001 
