"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"41740","06","06073","0001.00","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",2814,0.001 
"41740","06","06073","0001.00","92110","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",215,0 
"41740","06","06073","0002.01","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",1801,0.001 
"41740","06","06073","0002.02","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",3587,0.001 
"41740","06","06073","0002.02","92110","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",621,0 
"41740","06","06073","0003.00","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",4732,0.002 
"41740","06","06073","0004.00","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",3669,0.001 
"41740","06","06073","0005.00","92116","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",2722,0.001 
"41740","06","06073","0006.00","92103","U","78661","07316","99999","CA","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","99999","San Diego, CA","San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)","San Diego, CA Urbanized Area",3108,0.001 
