"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"14460","25","25009","2011.00","01908","U","09271","00704","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Nahant, MA","Essex County (South)--Lynn City, Swampscott & Nahant Towns","Boston, MA--NH--RI Urbanized Area",3410,0.001 
"14460","25","25009","2021.01","01907","U","09271","00704","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Swampscott, MA","Essex County (South)--Lynn City, Swampscott & Nahant Towns","Boston, MA--NH--RI Urbanized Area",2063,0 
"14460","25","25009","2021.02","01907","U","09271","00704","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Swampscott, MA","Essex County (South)--Lynn City, Swampscott & Nahant Towns","Boston, MA--NH--RI Urbanized Area",5836,0.001 
"14460","25","25009","2022.00","01907","U","09271","00704","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Swampscott, MA","Essex County (South)--Lynn City, Swampscott & Nahant Towns","Boston, MA--NH--RI Urbanized Area",5888,0.001 
"14460","25","25009","2031.00","01945","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Marblehead, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",7071,0.002 
"14460","25","25009","2032.00","01945","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Marblehead, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",4557,0.001 
"14460","25","25009","2033.01","01945","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Marblehead, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",4010,0.001 
"14460","25","25009","2033.02","01945","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Marblehead, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",4170,0.001 
"14460","25","25009","2041.01","01970","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Salem, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",4669,0.001 
"14460","25","25009","2041.02","01907","U","09271","00703","37764","MA","Essex MA","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","37764","Swampscott, MA","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities","Boston, MA--NH--RI Urbanized Area",231,0 
