"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"28140","20","20091","0500.00","66205","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Roeland Park, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",4671,0.002 
"28140","20","20091","0500.00","66208","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Prairie Village, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",17,0 
"28140","20","20091","0501.00","66205","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Roeland Park, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",4245,0.002 
"28140","20","20091","0502.00","66202","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Mission, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",2759,0.001 
"28140","20","20091","0502.00","66205","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Roeland Park, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",926,0 
"28140","20","20091","0503.01","66202","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Mission, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",3904,0.002 
"28140","20","20091","0503.02","66202","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Mission, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",1246,0.001 
"28140","20","20091","0503.02","66205","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Roeland Park, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",268,0 
"28140","20","20091","0504.00","66202","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Mission, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",4699,0.002 
"28140","20","20091","0505.00","66202","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Mission, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",1592,0.001 
"28140","20","20091","0505.00","66204","U","43912","00602","99999","KS","Johnson KS","Kansas City, MO-KS Metropolitan Statistical Area","99999","Overland Park, KS","Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities","Kansas City, MO--KS Urbanized Area",999,0 
