"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"41180","17","17005","9512.00","62019","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Donnellson, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",135,0 
"41180","17","17005","9512.00","62246","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Greenville, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",1411,0.001 
"41180","17","17005","9512.00","62246","U","35299","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Greenville, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties","Greenville, IL Urban Cluster",135,0 
"41180","17","17005","9512.00","62262","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Mulberry Grove, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",1183,0 
"41180","17","17005","9512.00","62284","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Smithboro, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",252,0 
"41180","17","17005","9512.00","62284","U","35299","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Smithboro, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties","Greenville, IL Urban Cluster",100,0 
"41180","17","17005","9513.00","62246","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Greenville, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",221,0 
"41180","17","17005","9513.00","62246","U","35299","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Greenville, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties","Greenville, IL Urban Cluster",6737,0.002 
"41180","17","17005","9514.00","62019","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","Donnellson, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",36,0 
"41180","17","17005","9514.00","62074","R"," ","00501","99999","IL","Bond IL","St. Louis, MO-IL Metropolitan Statistical Area","99999","New Douglas, IL","Montgomery, Bond, Clinton, Fayette & Effingham Counties"," ",132,0 
