"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"42660","53","53033","0001.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",6255,0.002 
"42660","53","53033","0002.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",7646,0.002 
"42660","53","53033","0003.00","98125","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",397,0 
"42660","53","53033","0003.00","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2206,0.001 
"42660","53","53033","0004.01","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",5093,0.001 
"42660","53","53033","0004.01","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",458,0 
"42660","53","53033","0004.02","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",4087,0.001 
"42660","53","53033","0004.02","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",754,0 
"42660","53","53033","0005.00","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3165,0.001 
"42660","53","53033","0006.00","98125","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3404,0.001 
"42660","53","53033","0006.00","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",4222,0.001 
"42660","53","53033","0007.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",4438,0.001 
"42660","53","53033","0008.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",2583,0.001 
"42660","53","53033","0009.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",422,0 
"42660","53","53033","0009.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",1597,0 
"42660","53","53033","0010.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",1941,0.001 
"42660","53","53033","0011.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",50,0 
"42660","53","53033","0011.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",2453,0.001 
"42660","53","53033","0012.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",4977,0.001 
"42660","53","53033","0012.00","98133","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",1517,0 
"42660","53","53033","0013.00","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",1451,0 
"42660","53","53033","0013.00","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2889,0.001 
"42660","53","53033","0014.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",765,0 
"42660","53","53033","0014.00","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",1819,0.001 
"42660","53","53033","0014.00","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2264,0.001 
"42660","53","53033","0015.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2454,0.001 
"42660","53","53033","0016.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3064,0.001 
"42660","53","53033","0016.00","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",1067,0 
"42660","53","53033","0017.01","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2565,0.001 
"42660","53","53033","0017.01","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",523,0 
"42660","53","53033","0017.01","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",730,0 
"42660","53","53033","0017.02","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",605,0 
"42660","53","53033","0017.02","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3142,0.001 
"42660","53","53033","0017.02","98133","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",260,0 
"42660","53","53033","0017.02","98177","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Shoreline, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",227,0 
"42660","53","53033","0018.00","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",4535,0.001 
"42660","53","53033","0019.00","98103","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",529,0 
"42660","53","53033","0019.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",3230,0.001 
"42660","53","53033","0019.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",398,0 
"42660","53","53033","0020.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",3375,0.001 
"42660","53","53033","0020.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",31,0 
"42660","53","53033","0021.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",3726,0.001 
"42660","53","53033","0021.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",81,0 
"42660","53","53033","0022.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",4406,0.001 
"42660","53","53033","0022.00","98125","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",880,0 
"42660","53","53033","0024.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",2972,0.001 
"42660","53","53033","0025.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",2802,0.001 
"42660","53","53033","0026.00","98115","U","80389","11602","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northeast)","Seattle, WA Urbanized Area",4660,0.001 
"42660","53","53033","0027.00","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3295,0.001 
"42660","53","53033","0027.00","98115","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",1994,0.001 
"42660","53","53033","0028.00","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",4481,0.001 
"42660","53","53033","0029.00","98103","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",912,0 
"42660","53","53033","0029.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3265,0.001 
"42660","53","53033","0030.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",5637,0.002 
"42660","53","53033","0031.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",6219,0.002 
"42660","53","53033","0032.00","98107","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",5208,0.002 
"42660","53","53033","0032.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2475,0.001 
"42660","53","53033","0033.00","98107","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",3542,0.001 
"42660","53","53033","0033.00","98117","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2682,0.001 
"42660","53","53033","0034.00","98107","U","80389","11601","42644","WA","King WA","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Bellevue-Everett, WA","Seattle, WA","Seattle City (Northwest)","Seattle, WA Urbanized Area",2163,0.001 
