"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"19820","26","26087","3300.00","48416","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Brown City, MI","Genesee (East) & Lapeer Counties"," ",1566,0 
"19820","26","26087","3300.00","48444","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Imlay City, MI","Genesee (East) & Lapeer Counties"," ",1740,0 
"19820","26","26087","3300.00","48453","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Marlette, MI","Genesee (East) & Lapeer Counties"," ",248,0 
"19820","26","26087","3300.00","48461","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","North Branch, MI","Genesee (East) & Lapeer Counties"," ",147,0 
"19820","26","26087","3305.00","48416","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Brown City, MI","Genesee (East) & Lapeer Counties"," ",82,0 
"19820","26","26087","3305.00","48435","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Fostoria, MI","Genesee (East) & Lapeer Counties"," ",404,0 
"19820","26","26087","3305.00","48461","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","North Branch, MI","Genesee (East) & Lapeer Counties"," ",754,0 
"19820","26","26087","3305.00","48727","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Clifford, MI","Genesee (East) & Lapeer Counties"," ",859,0 
"19820","26","26087","3305.00","48744","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Mayville, MI","Genesee (East) & Lapeer Counties"," ",390,0 
"19820","26","26087","3305.00","48760","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Silverwood, MI","Genesee (East) & Lapeer Counties"," ",612,0 
"19820","26","26087","3310.00","48421","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Columbiaville, MI","Genesee (East) & Lapeer Counties"," ",181,0 
"19820","26","26087","3310.00","48435","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Fostoria, MI","Genesee (East) & Lapeer Counties"," ",35,0 
"19820","26","26087","3310.00","48464","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Otter Lake, MI","Genesee (East) & Lapeer Counties"," ",1605,0 
"19820","26","26087","3315.00","48421","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Columbiaville, MI","Genesee (East) & Lapeer Counties"," ",2546,0.001 
"19820","26","26087","3315.00","48435","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Fostoria, MI","Genesee (East) & Lapeer Counties"," ",62,0 
"19820","26","26087","3315.00","48464","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Otter Lake, MI","Genesee (East) & Lapeer Counties"," ",139,0 
"19820","26","26087","3320.00","48421","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Columbiaville, MI","Genesee (East) & Lapeer Counties"," ",1736,0 
"19820","26","26087","3320.00","48435","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Fostoria, MI","Genesee (East) & Lapeer Counties"," ",392,0 
"19820","26","26087","3320.00","48446","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Lapeer, MI","Genesee (East) & Lapeer Counties"," ",188,0 
"19820","26","26087","3320.00","48461","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","North Branch, MI","Genesee (East) & Lapeer Counties"," ",3379,0.001 
"19820","26","26087","3325.00","48461","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","North Branch, MI","Genesee (East) & Lapeer Counties"," ",3645,0.001 
"19820","26","26087","3330.00","48412","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Attica, MI","Genesee (East) & Lapeer Counties"," ",2198,0.001 
"19820","26","26087","3330.00","48444","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Imlay City, MI","Genesee (East) & Lapeer Counties"," ",269,0 
"19820","26","26087","3330.00","48446","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Lapeer, MI","Genesee (East) & Lapeer Counties"," ",143,0 
"19820","26","26087","3330.00","48461","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","North Branch, MI","Genesee (East) & Lapeer Counties"," ",503,0 
"19820","26","26087","3335.00","48446","R"," ","01701","47644","MI","Lapeer MI","Detroit-Warren-Livonia, MI Metropolitan Statistical Area","47644","Lapeer, MI","Genesee (East) & Lapeer Counties"," ",3432,0.001 
